date,year,type,country,state,location,activity,sex,age,fatal_y/n,time,sex_clean,activity_clean,hour,time_period
18 Sep-2023,2023,Unprovoked,UNITED STATES,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,N,16:00,Male,Swimming,16.0,Afternoon
13 Sep-2023,2023,Unprovoked,EGYPT,South Sinai,Dahab,Swimming,F,34.0,N,nan,Female,Swimming,,
12 Sep-2023,2023,Questionable,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38.0,N,07:50,Male,Surfing,7.0,Morning
11 Sep-2023,2023,Unprovoked,UNITED STATES,Florida,"Satellite Beach, Brevard County",Surfing,M,,N,nan,Male,Surfing,,
09 Sep- 2023,2023,Unprovoked,PHILIPPINES,Bolinao,"Pangasinan, Ilocos Norte, Luzon Island",Fishing,M,,Unknown,nan,Male,Fishing,,
Reported 06-Sep-2023,2023,Watercraft,CORAL SEA,,,On a round-the-world expedition,M,,N,01:00,Male,Other,1.0,Night
04 Sep 2023,2023,Unprovoked,UNITED STATES,Florida,"Ponce Inlet, Volusia County",Surfing,M,30.0,N,nan,Male,Surfing,,
04 Sep 2023,2023,Unprovoked,UNITED STATES,Florida,"Ponce Inlet, Volusia County",Wading,F,37.0,N,nan,Female,Swimming,,
25 Aug 2023,2023,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Port Macquarie",Surfing,M,44.0,Unknown,10:00,Male,Surfing,10.0,Morning
23 Aug-2023,2023,Unprovoked,UNITED STATES,North Carolina,"Oak Island, Brunswick County",Wading,Unknown,9.0,N,09:00,Unknown,Swimming,9.0,Morning
22 Aug-2023,2023,Watercraft,UNITED STATES,California,"Pebble Beach, San Mateo County",Kayak fishing,M,19.0,N,13:00,Male,Fishing,13.0,Afternoon
21 Aug-2023,2023,Questionable,BAHAMAS,New Providence   Isoad,"Saunders Beach, Nassau",Unknown,M,,Unknown,Morning,Male,Unknown,,
16 Aug-2023,2023,Unprovoked,SPAIN,Valencia,Rabdells Beach,Wading,M,35.0,N,Afternoon,Male,Swimming,,
16 Aug-2023,2023,Provoked,PORTUGAL,Norte,Nm Off Vila Do Conde,Fishing,M,,N,19:30,Male,Fishing,19.0,Evening
12 Aug-2023,2023,Unprovoked,SAMOA,Savai'I Island,Lano,Towing a dead whale out to sea,M,,Y,Evening,Male,Other,,
07 Aug-2023,2023,Unprovoked,UNITED STATES,New York,Rockaway,Wading,F,65.0,N,17:50,Female,Swimming,17.0,Evening
31 Jul-2023,2023,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22.0,N,09:30,Male,Surfing,9.0,Morning
30 Jul-2023,2023,Unprovoked,UNITED STATES,Florida,"Anna Maria Island, Manatee County",Spearfishing,M,22.0,N,15:30,Male,Spearfishing,15.0,Afternoon
29 Jul-2023,2023,Unprovoked,UNITED STATES,Florida,Tampa Bay,Swimming,F,26.0,N,20:00,Female,Swimming,20.0,Evening
24 Jul-2023,2023,Unprovoked,AUSTRALIA,Western Australia,Gnarabup Beach,Surfing,M,20.0,N,08:45,Male,Surfing,8.0,Morning
22 Jul-2023,2023,Unprovoked,AUSTRALIA,Western Australia,Yallingup Lagoon,Snorkeling,M,77.0,N,nan,Male,Snorkeling,,
21 Jul-2023,2023,Unprovoked,UNITED STATES,South Carolina,"Sea Pines Beach, Hilton Head Island, Beaufort County",Boogie boarding,M,60.0,N,13:20,Male,Surfing,13.0,Afternoon
18 Jul-2023,2023,Unprovoked,COLOMBIA,San Andrés Island,Nirvana,Freediving,M,38.0,N,"""Midday""",Male,Diving,,
15 Jul-2023,2023,Unprovoked,UNITED STATES,Florida,New Smyrna Beach,Sitting,M,49.0,N,14:00,Male,Other,14.0,Afternoon
14 Jul-2023,2023,Unprovoked,UNITED STATES,Florida,New Smyrna Beach,Surfing,M,21.0,N,15:00,Male,Surfing,15.0,Afternoon
Reported 14 Jul-2023,2023,Watercraft,SOUTH AFRICA,Eastern Cape Province,Chinta East,Watching the sardine run,Unknown,,N,nan,Unknown,Other,,
04 Jul-2023,2023,Unprovoked,ECUADOR,Galapagos Islands,Mosquera Islet,Snorkeling,F,42.0,N,nan,Female,Snorkeling,,
04 Jul-2023,2023,Unprovoked,UNITED STATES,New York,"Cherry Grove, Suffolk County",Standing,F,,N,16:25,Female,Other,16.0,Afternoon
04 Jul-2023,2023,Unprovoked,UNITED STATES,New York,"Fire Island Pines, Suffolk County",Swimming,M,49.0,N,13:55,Male,Swimming,13.0,Afternoon
04 Jul-2023,2023,Unprovoked,UNITED STATES,New York,"Quogue Village Beach, Suffolk County",Swimming,M,47.0,N,13:50,Male,Swimming,13.0,Afternoon
03 Jul-2023,2023,Unprovoked,UNITED STATES,New York,"Kismet Beach, Suffolk County",Surfing,M,15.0,N,17:20,Male,Surfing,17.0,Evening
03 Jul-2023,2023,Unprovoked,UNITED STATES,New York,"Beach , Robert Moses State Park, Suffolk County",Swimming,F,15.0,N,13:45,Female,Swimming,13.0,Afternoon
23-Jun-2023,2023,Unprovoked,UNITED STATES,Florida,"Cocoa Beach, Brevard County",Swimming,F,2.0,N,nan,Female,Swimming,,
23-Jun-2023,2023,Unprovoked,UNITED STATES,Florida,"Flamingo Marina, Homestead, Miami-Dade County",Fishing,M,,N,10:10,Male,Fishing,10.0,Morning
Reported 14-June 2023,2023,Unprovoked,UNITED STATES,Hawaii,Laysan,Filming,M,,N,nan,Male,Other,,
08-Jun 2023,2023,Unprovoked,EGYPT,Red Sea Protectorate,"Dream Beach, Hurguda",Swimming,M,24.0,Y,15:00,Male,Swimming,15.0,Afternoon
07-Jun-2023,2023,Unprovoked,BAHAMAS,Freeport,Shark Junction,Scuba diving,F,73.0,Unknown,13:00,Female,Diving,13.0,Afternoon
28-May 2023,2023,Unprovoked,FRENCH POLYNESIA,Tahiti,"Matavai Bay, Arue, Papetee",Kite surfing,F,25.0,N,14:35,Female,Surfing,14.0,Afternoon
28-May 2023,2023,Unprovoked,NEW CALEDONIA,Poum,Twagne,Spearfishing,M,42.0,Y,11:00,Male,Spearfishing,11.0,Morning
24-May 2023,2023,Unprovoked,TURKS & CAICOS,Providenciales Island,Grace Bay Beach,Snorkeling,F,22.0,N,15:00,Female,Snorkeling,15.0,Afternoon
24 May 2023,2023,Questionable,BAHAMAS,Lucayan Lucayan Archipelago,Athol Island,Jumped overboard,M,18.0,Y,Night,Male,Surfing,,
20-May-23,2023,Provoked,UNITED STATES,Utah,Sea Quest Aquarium Layton Davis County,Shark Feeding,F,26.0,N,15:00:00,Female,Other,15.0,Afternoon
21-May 2023,2023,Unprovoked,UNITED STATES,New Jersey,"Stone Harbor, Cape May County",Surfing,F,15.0,N,15:00,Female,Surfing,15.0,Afternoon
19 -May 2023,2023,Provoked,UNITED STATES,Florida,"Flagship Drive, Summerland Key, Monroe County",Fishing,M,35.0,N,20:00,Male,Fishing,20.0,Evening
18-May-2023,2023,Unprovoked,UNITED STATES,Florida,"Marathon, Monroe County",Spearfishing,M,20.0,N,15:00,Male,Spearfishing,15.0,Afternoon
14-May-2023,2023,Unprovoked,UNITED STATES,South Carolina,"Isle Of Palms, Charleston County",Swimming,F,24.0,N,17:00,Female,Swimming,17.0,Evening
13-May-2023,2023,Unprovoked,AUSTRALIA,South Australia,Elliston,Surfing,M,46.0,Y,10:10,Male,Surfing,10.0,Morning
11-May-2023,2023,Unprovoked,UNITED STATES,Florida,"Fort Pierce, St. Lucie County",Sitting,F,13.0,N,Afternoon,Female,Other,,
11-May-2023,2023,Provoked,UNITED STATES,Hawaii,"Kualoa, Oahu",Kayak fishing,M,,N,nan,Male,Fishing,,
09 May-2023,2023,Provoked,CUBA,Mayabeque,Puerto Escondido,Spearfishing,M,,Y,nan,Male,Spearfishing,,
05-May-2023,2023,Unprovoked,UNITED STATES,Florida,"Davis Reef, Islamorada, Monroe County",Spearfishing,M,22.0,N,11:30,Male,Spearfishing,11.0,Morning
03-May-2023,2023,Unprovoked,SOUTH AFRICA,Easten Cape Province,"Supertubes, Jeffreys Bay",Surfing,M,50.0,N,19:15,Male,Surfing,19.0,Evening
01-May-2023,2023,Unprovoked,SOUTH AFRICA,Easten Cape Province,Mngcibe Beach,Diving for crayfish,M,39.0,N,nan,Male,Diving,,
29-Apr-2023,2023,Unprovoked,AUSTRALIA,Western Australia,"Yallingup, Busselton",Swimming,M,,N,11:20,Male,Swimming,11.0,Morning
29-Apr-2023,2023,Unprovoked,AUSTRALIA,Western Australia,"Kurrajong Campground, Exnouth",Snorkeling,M,11.0,N,15:00,Male,Snorkeling,15.0,Afternoon
23-Apr-2023,2023,Unprovoked,UNITED STATES,Florida,"Anna Maria Island, Manatee County",Spearfishing,M,,N,nan,Male,Spearfishing,,
22-Apr-2023,2023,Unprovoked,AUSTRALIA,Western Australia,Lucy'S Beach,Surfing,M,30.0,N,07:15,Male,Surfing,7.0,Morning
11-Apr-2023,2023,Unprovoked,UNITED STATES,Florida,"Virginia Key, Monroe County",Windsurfing,F,50.0,N,15:00,Female,Surfing,15.0,Afternoon
09-Apr-2023,2023,Watercraft,UNITED STATES,Florida,Off Boca Raton. Palm Beach County,Kayak fishing,M,,N,07:00,Male,Fishing,7.0,Morning
09-Apr-2023,2023,Unprovoked,UNITED STATES,Hawaii,"Kewalos, Oahu",Surfing,M,58.0,N,07:00,Male,Surfing,7.0,Morning
25-Mar-2023,2023,Unprovoked,UNITED STATES,Florida,"Blue Fish Channel, Key West, Monroe County",Kite-Surfing,M,67.0,N,14:00,Male,Surfing,14.0,Afternoon
25-Mar-2023,2023,Provoked,CUBA,Artemisa,Playa Majana,Fishing,M,17.0,N,nan,Male,Fishing,,
22-Mar-2023,2023,Unprovoked,AUSTRALIA,Western Australia,Delta Island,Wading,M,30.0,N,18:00,Male,Swimming,18.0,Evening
19-Mar-2023,2023,Unprovoked,UNITED STATES,Hawaii,Anaehoomalu Bay,Swimming,M,60.0,N,12:30,Male,Swimming,12.0,Afternoon
17-Mar-2023,2023,Questionable,MEXICO,Quintana Roo,Cancún,Swimming,M,10.0,N,nan,Male,Swimming,,
16-Mar-2023,2023,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Surf-sking,F,,N,08:00,Female,Surfing,8.0,Morning
06-Mar-2023,2023,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,F,15.0,N,14:20,Female,Swimming,14.0,Afternoon
05-Mar-2023,2023,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,14.0,N,nan,Male,Swimming,,
02-Mar-2023,2023,Unprovoked,SEYCHELLES,Praslin Island,,Snorkeling,M,6.0,Unknown,Afternoon,Male,Snorkeling,,
21-Feb-2023,2023,Unprovoked,BRAZIL,Pernambuco,Praia De Milagres,Surfing,M,32.0,N,16:30,Male,Surfing,16.0,Afternoon
19-Feb-2023,2023,Unprovoked,NEW CALEDONIA,South Province,"Château-Royal Beach , Noumea",Swimming,M,59.0,Unknown,16:00,Male,Swimming,16.0,Afternoon
19-Feb-2023,2023,Unprovoked,UNITED STATES,Florida,"Jupiter Island, Martin County",Surfing,M,60.0,N,17:30,Male,Surfing,17.0,Evening
18-Feb-2023,2023,Questionable,ARGENTINA,Patagonia,Chubut Province,Unknown,M,32.0,Unknown,nan,Male,Unknown,,
17-Feb-2023,2023,Questionable,FIJI,Taveuni Island,Ura Estate,Spearfishing,M,41.0,N,07:20,Male,Spearfishing,7.0,Morning
04-Feb-2023,2023,Unprovoked,AUSTRALIA,Western Australia,Freemantle,Swimming,F,16.0,Y,15:30,Female,Swimming,15.0,Afternoon
30-Jan-2023,2023,Unprovoked,AUSTRALIA,Queensland,Lady Musgrave Island,Fishing,M,8.0,N,nan,Male,Fishing,,
29 Jan--2023,2023,Unprovoked,NEW CALEDONIA,South Province,"Chateau Royal Beach, Noumea",Swimming,M,49.0,N,10:30,Male,Swimming,10.0,Morning
08-Jan--2023,2023,Unprovoked,UNITED STATES,Florida,"Outer Mole, Fort Zachrry Tatlor Historic Park, Key West, Monroe County",Swimming,M,34.0,N,14:00,Male,Swimming,14.0,Afternoon
05-Jan-2023,2023,Unprovoked,MEXICO,Gulf Of California,Tobari Bay,Diving with  surface-supplied air,M,53.0,Y,11:30,Male,Surfing,11.0,Morning
01-Jan-2023,2023,Provoked,UNITED STATES,Florida,Off Pensacola,Spearishing,M,30.0,N,14:50,Male,Other,14.0,Afternoon
Jan-2023,2023,Provoked,MALDIVES,Vaavu Atoll,,Snorkeling at Shark Feeding site,F,30.0,N,nan,Female,Snorkeling,,
30-Dec-2022,2022,Provoked,SOUTH AFRICA,Knz,Protea Banks,Diving/Shark Feeding,M,26.0,N,09:00,Male,Diving,9.0,Morning
13-Dec-2022,2022,Unprovoked,UNITED STATES,Hawaii,Anaeho'Imalu Bay,Swimming,M,68.0,N,08:00,Male,Swimming,8.0,Morning
11 Dec-2022,2022,Unprovoked,AUSTRALIA,New South Ales,Killick Creek Near Crescent Head,Swimming,M,15.0,N,-16:30,Male,Swimming,16.0,Afternoon
09-Dec-2022,2022,Unprovoked,UNITED STATES,Samoa,Pago Pago Harbor,Diving,M,43.0,N,12:00,Male,Diving,12.0,Afternoon
08-Dec-2022,2022,Unprovoked,UNITED STATES,Hawaii,"Keawakapu Point, Kehei, Maui",Snorkeling,F,60.0,Y,12:00,Female,Snorkeling,12.0,Afternoon
07-Dec-2022,2022,Unprovoked,UNITED STATES,Texas,,Surfing,M,,N,nan,Male,Surfing,,
27-Nov-2022,2022,Unprovoked,UNITED STATES,Florida,Hobe Sound,Swimming,F,10.0,N,Afternoon,Female,Swimming,,
04-Nov-2022,2022,Unprovoked,UNITED STATES,California,"Del Mar Beach, San Diego County",Swimming,F,50.0,N,10:00,Female,Swimming,10.0,Morning
03-Nov-2022,2022,Provoked,UNITED STATES,Florida,"Cape San Blas, Gulf County",Fishing,M,29.0,N,15:30,Male,Fishing,15.0,Afternoon
31-Oct-2022,2022,Unprovoked,UNITED STATES,California,"Otter Point, Pacific Grove",Surfing,M,,N,17:17,Male,Surfing,17.0,Evening
28-Oct-2022,2022,Sea Disaster,UNITED STATES,Louisiana,Mikes From Empire,Fishing,M,40.0,N,Morning,Male,Fishing,,
28-Oct-2022,2022,Unprovoked,BAHAMAS,,Cat Island,Diving,M,,N,nan,Male,Diving,,
27-Oct-2022,2022,Provoked,UNITED STATES,Mississippi,Horn Island,Fishing,M,,N,nan,Male,Fishing,,
25 Oct-2022,2022,Unprovoked,UNITED STATES,Hawaii,Kauai,Snorkeling,M,51.0,N,Afternoon,Male,Snorkeling,,
23-Oct-2022,2022,Unprovoked,AUSTRALIA,South Australia,Seacliff,Surf skiing ,M,19.0,N,11:15,Male,Surfing,11.0,Morning
10-Oct-2022,2022,Provoked,UNITED STATES,Florida,"Key Largo, Monroe County",Fishing,M,15.0,N,nan,Male,Fishing,,
08-Oct-2022,2022,Unprovoked,UNITED STATES,Louisiana,Off Empire,Shipwreck,M,40.0,N,nan,Male,Other,,
07-Oct-2022,2022,Unprovoked,AUSTRALIA,Western  Australia,Port Hedland,Spearfishing,M,38.0,N,11:30,Male,Spearfishing,11.0,Morning
06-Oct-2022,2022,Unprovoked,AUSTRALIA,Victoria,"Nun'S Beach, Portland",Surfing,M,17.0,N,19:00,Male,Surfing,19.0,Evening
02-Oct-2022,2022,Unprovoked,UNITED STATES,California,Centerville Beach,Surfing,M,31.0,N,15:30,Male,Surfing,15.0,Afternoon
25-Sep-2022,2022,Unprovoked,SOUTH AFRICA,Western Cape Province,"Central Beach, Plettenberg Bay",Swimming,F,39.0,Y,07:53,Female,Swimming,7.0,Morning
22-Sep-2022,2022,Unprovoked,UNITED STATES,Florida,"Marathon, Monroe County",Spearfishing,M,26.0,N,nan,Male,Spearfishing,,
06-Sep-2022,2022,Unprovoked,BAHAMAS,,Green Cay,Snorkeling,F,58.0,Y,14:00,Female,Snorkeling,14.0,Afternoon
03-Sep-2022,2022,Unprovoked,UNITED STATES,Hawaii,"Lower Paia Beach Park, Maui",Swimming  or Snorkeling,F,51.0,N,16:10,Female,Swimming,16.0,Afternoon
31-Aug-2022,2022,Unprovoked,AUSTRALIA,New South Wales,Avoca,Surfing,M,14.0,N,07:00,Male,Surfing,7.0,Morning
17-Aug-2022,2022,Unprovoked,AUSTRALIA,New South Wales,Coffs Harbour,Kayaking,M,,N,nan,Male,Other,,
15-Aug-2022,2022,Unprovoked,UNITED STATES,South Carolina,"Myrtle Beach, Horry County",Swimming,F,,N,11:17,Female,Swimming,11.0,Morning
15-Aug-2022,2022,Unprovoked,UNITED STATES,South Carolina,"Myrtle Beach, Horry County",Standing,F,,N,12:00,Female,Other,12.0,Afternoon
15-Aug-2022,2022,Unprovoked,AUSTRALIA,Westerm Australia,Goode Beach,Spearfishing,M,17.0,N,nan,Male,Spearfishing,,
13-Aug-2022,2022,Unprovoked,UNITED STATES,Florida,"Looe Key, Monroe County",Snorkeling,M,10.0,N,16:00,Male,Snorkeling,16.0,Afternoon
10-Aug-2022,2022,Unprovoked,UNITED STATES,California,"Lovers Point, Pacific Grove, Monterey County",Paddleboarding,M,,N,11:30,Male,Surfing,11.0,Morning
28-Jul-2022,2022,Unprovoked,UNITED KINGDOM,Cornwall,Penzance,Snorkeling,F,,N,12:30,Female,Snorkeling,12.0,Afternoon
27-Jul-2022,2022,Unprovoked,UNITED STATES,Florida,"Florida Keys, Monroe County",Lobstering,M,13.0,N,nan,Male,Other,,
25-Jul-2022,2022,Unprovoked,UNITED STATES,Florida,"Daytona Beach, Volusia County",Wading,M,33.0,N,15:00,Male,Swimming,15.0,Afternoon
20-Jul-2022,2022,Unprovoked,UNITED STATES,New York,"Kismet Beach, Long Island",Surfing,M,16.0,N,17:45,Male,Surfing,17.0,Evening
19-Jul-2022,2022,Questionable,UNITED STATES,Florida,"Cape Canaveral, Brevard County",Unknown,Unknown,,N,10jh45,Unknown,Unknown,10.0,Morning
19-Jul-2022,2022,Unprovoked,UNITED STATES,Noirth Carolina,"Topsail Beach, Pender County",Surfing,F,,N,Early morning,Female,Surfing,,
17-Jul-2022,2022,Provoked,UNITED STATES,Florida,"Content Keys, Monroe County",Fishing,M,,N,17:30,Male,Fishing,17.0,Evening
16-Jul-2022,2022,Unprovoked,UNITED STATES,Florida,"Daytona Beach Shores, Volusia County",Unknown,F,40.0,N,13:12,Female,Unknown,13.0,Afternoon
13-Jul-2022,2022,Unprovoked,UNITED STATES,New York,"Seaview Beach, Suffolk County",Unknown,M,49.0,N,18:00,Male,Unknown,18.0,Evening
13-Jul-2022,2022,Unprovoked,UNITED STATES,New York,"Smith Point Beach, Suffolk County",Surfing,M,41.0,N,07:30,Male,Surfing,7.0,Morning
10-Jul-2022,2022,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30.0,N,nan,Male,Surfing,,
07-Jul-2022,2022,Unprovoked,UNITED STATES,New York,"Ocean Beach, Long Island",Lifeguard Training Exercise,M,17.0,N,11:00oo,Male,Other,11.0,Morning
04-Jul-2022,2022,Unprovoked,JAPAN,Okinawa,Nago,Snorkeling,M,60.0,Y,nan,Male,Snorkeling,,
03-Jul-2022,2022,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,28.0,N,11:43,Male,Surfing,11.0,Morning
03-Jul-2022,2022,Unprovoked,UNITED STATES,New York,"Smith Point Beach, Suffolk County",Lifeguard Exercises,M,,N,10:15,Male,Other,10.0,Morning
01-Jul-2022,2022,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,F,,N,nan,Female,Surfing,,
01-Jul-2022,2022,Unprovoked,EGYPT,"Hurghada, Red Sea Governorate",Sahl Hasheesh,Snorkeling,F,40.0,Y,nan,Female,Snorkeling,,
01-Jul-2022,2022,Unprovoked,EGYPT,"Hurghada, Red Sea Governorate",Sahl Hasheesh,Swimming,F,68.0,Y,nan,Female,Swimming,,
30-Jun-2022,2022,Unprovoked,UNITED STATES,New York,"Jones Beach, Nassau County",Swimming,M,,N,13:00,Male,Swimming,13.0,Afternoon
30-Jun-2022,2022,Unprovoked,UNITED STATES,Florida,Keaton Beach,Scalloping,F,17.0,N,15:00,Female,Other,15.0,Afternoon
29-Jun-2022,2022,Unprovoked,UNITED STATES,Florida,"Sawyer Key , Monroe County",Swimming,F,35.0,N,20:00,Female,Swimming,20.0,Evening
29-Jun-2022,2022,Unprovoked,UNITED STATES,Florida,"Summerland Key, Monroe County",Jumped into water,M,,N,Afternoon,Male,Other,,
28-Jun-2022,2022,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sanctuary Beach, Plettenberg Bay",Swimming,M,,Y,14:09,Male,Swimming,14.0,Afternoon
24-Jun-2022,2022,Unprovoked,JAMAICA,,,Fishing,M,,N,Afternoon,Male,Fishing,,
23-Jun-2022,2022,Unprovoked,UNITED STATES,Florida,"Redington Beach, Pinellas County",Unknown,F,,N,nan,Female,Unknown,,
22-Jun-2022,2022,Unprovoked,UNITED STATES,California,"Pacific Grove, Monterey County",Swimming,M,62.0,N,10:40,Male,Swimming,10.0,Morning
21-Jun-2022,2022,Unprovoked,UNITED STATES,South Carolina,"Myrtle Beach, Horry County",Unknown,M,,N,nan,Male,Unknown,,
01-Jun-2022,2022,Unprovoked,AUSTRALIA,Western Australia,Oyster Stacks Near Exmouth12H15,Swimming,F,,N,12:15,Female,Swimming,12.0,Afternoon
27-May-2022,2022,Unprovoked,AUSTRALIA,Western Australia,Yallingup,Surfing,Unknown,,N,nan,Unknown,Surfing,,
20-May-2022,2022,Unprovoked,AUSTRALIA,Western Australia,"Royal Perth Yacht Club, Swan River",Diving,M,20.0,N,nan,Male,Diving,,
19-May-2022,2022,Provoked,BELIZE,Ambergris Cay,Off San Pedro,Spearfishing,M,,N,nan,Male,Spearfishing,,
10-May-2022,2022,Unprovoked,MALDIVES,,"Maafilaafushi Island, Lhaviyani Atoll",Fishing,M,62.0,N,nan,Male,Fishing,,
07-May-2022,2022,Unprovoked,FRENCH POLYNESIA,Bora Bora,To'Opua,Unknown,Unknown,,N,nan,Unknown,Unknown,,
03-May-2022,2022,Provoked,UNITED STATES,Georgia,"Île De Saint Simon, Glynn County",Fishing,M,,N,19:12,Male,Fishing,19.0,Evening
01-May-2022,2022,Unprovoked,THAILAND,Phuket,Kamala Beach,Playing in the water,M,8.0,N,Afternoon,Male,Other,,
30-Apr-2022,2022,Unprovoked,FRENCH POLYNESIA,Tahiti,"Pointe Des Pêcheurs, Punaahuia",Unknown,M,22.0,N,Morning,Male,Unknown,,
Reported 27-Apr-2022,2022,Unprovoked,AUSTRALIA,,,Paddleboarding,M,32.0,N,nan,Male,Surfing,,
17-Apr-2022,2022,Unprovoked,UNITED STATES,Florida,"Whale Harbor, Islamorada, Monroe County",Unknown, M,56.0,N,16:00,Male,Unknown,16.0,Afternoon
12-Apr-2022,2022,Unprovoked,UNITED STATES,Alabama,"Gulf Shores, Baldwin County",Swimming,M,17.0,N,Afternoon,Male,Swimming,,
11-Apr-2022,2022,Unprovoked,UNITED STATES,Florida,"Higkand Beach, Palm Beach County",Standing,M,,N,16:00,Male,Other,16.0,Afternoon
09-Apr-2022,2022,Provoked,UNITED STATES,New Jersey,Tutle Back Zoo,Feeding sharks & stingrays,F,12.0,N,Afternoon,Female,Other,,
07-Apr-2022,2022,Unprovoked,UNITED STATES,Florida,Canaveral National Seashore,Kayaking,M,,N,10:00,Male,Other,10.0,Morning
01-Apr-2022,2022,Unknown,SOUTH AFRICA,Kzn,Lalucia,Unknown,M,,Unknown,nan,Male,Unknown,,
31-Mar-2022,2022,Provoked,UNITED STATES,Florida,"Lake Worth Beach, Palm Beach County",Fishing,M,50.0,Unknown,Morning,Male,Fishing,,
18-Mar-2022,2022,Unprovoked,COLOMBIA,Isla De San Andres,La Piscinita,Swimming,M,56.0,Y,nan,Male,Swimming,,
15-Mar-2022,2022,Unprovoked,NEW ZEALAND,South Island,Cobden,Surfing,M,,N,nan,Male,Surfing,,
15-Mar-2022,2022,Unprovoked,AUSTRALIA,New South Wales,Crowdy Baay,Surfing,M,32.0,N,15:20,Male,Surfing,15.0,Afternoon
15-Mar-2022,2022,Unprovoked,AUSTRALIA,New South Wales,Crowdy Baay,Swimming,M,,N,16:40,Male,Swimming,16.0,Afternoon
13-Mar-2022,2022,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20.0,N,15:00,Male,Surfing,15.0,Afternoon
09-Mar-2022,2022,Provoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Fishing,M,21.0,N,15:30,Male,Fishing,15.0,Afternoon
08-Mar-2022,2022,Unprovoked,AUSTRALIA,New South Wales,Maroubra,Surfing,M,,N,07:50,Male,Surfing,7.0,Morning
26-Feb-2022,2022,Unprovoked,UNITED STATES,California,"San Miguel Islandl, Santa Barbara County",Boogie boarding,M,42.0,Y,11:24,Male,Surfing,11.0,Morning
21-Feb-2022,2022,Unknown,BAHAMAS,Grand  Bahama Island,Tiger Beach,Diving,M,51.0,N,12:50,Male,Diving,12.0,Afternoon
17-Feb-2022,2022,Unprovoked,AUSTRALIA,Queensland,Redcliffe,Fihing,M,,N,nan,Male,Other,,
16-Feb-2022,2022,Unprovoked,AUSTRALIA,New South Wales,"Buchan Point, Sydney",Swimming,M,36.0,Y,16:30,Male,Swimming,16.0,Afternoon
12-Feb-2022,2022,Unprovoked,MEXICO,Sonora,Yavaros,Surface Supplied  Diving,M,56.0,Y,10:00,Male,Surfing,10.0,Morning
11-Feb-2022,2022,Unprovoked,UNITED STATES,Florida,"Cocoa Beach, Brevard County",Surfing,M,18.0,N,17:30,Male,Surfing,17.0,Evening
Reported 10-Feb-2022,2022,Provoked,BAHAMAS,,,Unknown,F,37.0,N,nan,Female,Unknown,,
08-Feb-2022,2022,Unknown,COSTA RICA,Guanacoste,Playa Del Coco,Diving,F,50.0,Unknown,nan,Female,Diving,,
05-Feb-2022,2022,Unprovoked,AUSTRALIA,Western Australia,"Beds, Wylie Bay, Esperance",Floating in inflatable pool ring,F,20.0,N,11:15,Female,Swimming,11.0,Morning
24-Jan-2022,2022,Unprovoked,AUSTRALIA,New South Wales,Warriewood,Swimming,M,,N,nan,Male,Swimming,,
22-Jan-2022,2022,Unprovoked,AUSTRALIA,Western Australia,Whalers Beach,Snorkeling,M,,N,nan,Male,Snorkeling,,
09-Jan-2022,2022,Provoked,SOUTH AFRICA,Kwazulu-Natal,"Off Beachbums, Tongaat",Fishing for sharks,M,,N,07:31,Male,Fishing,7.0,Morning
09-Jan-2022,2022,Unprovoked,NEW ZEALAND,South Island,"Friendly Bay, Oamaru",Swimming,F,13.0,N,16:30,Female,Swimming,16.0,Afternoon
06-Jan-2022,2022,Unprovoked,UNITED STATES,Florida,"Anna Maria Island, Manatee County",Wing Foil Surfing,F,42.0,N,14:45,Female,Surfing,14.0,Afternoon
04-Jan-2022,2022,Unprovoked,AUSTRALIA,New South Wales,"Hyams Beach, Jervis Bay",Unknown,F,42.0,N,06:30,Female,Unknown,6.0,Morning
01-Jan-2022,2022,Unprovoked,AUSTRALIA,Western Australia,North Lancelin,Surfing,M,40.0,N,nan,Male,Surfing,,
25-Dec-2021,2021,Unprovoked,NEW ZEALAND,South Island,Pororari River,Swimming,F,9.0,N,nan,Female,Swimming,,
24-Dec-2021,2021,Unprovoked,UNITED STATES,Los Angeles,Morro Strand San Luis Obispo,Boogie Boarding,M,31.0,Y,10:40:00rs,Male,Surfing,10.0,Morning
22-Dec-2021,2021,Unprovoked,UNITED STATES,Florida,"Anna Maria Island, Manatee County",Wing Foil Surfing,F,42.0,N,nan,Female,Surfing,,
11-Dec-2021`,2021,Unprovoked,AUSTRALIA,Queensland,Yarrabah,Spearfishing,M,24.0,N,10:30,Male,Spearfishing,10.0,Morning
